network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
1.0.2.0/23,1811017,1814991,,0,0,,24.4798,118.0819,50
1.0.4.0/22,2077456,2077456,,0,0,,-33.4940,143.2104,1000
1.0.8.0/21,1809935,1814991,,0,0,,23.1167,113.2500,50
1.0.16.0/20,1861060,1861060,,0,0,,35.6900,139.6900,500
1.0.32.0/19,1809935,1814991,,0,0,,23.1167,113.2500,50
1.0.64.0/23,1862415,1861060,,0,0,736-0086,34.3409,132.5311,50
1.0.66.0/24,1863018,1861060,,0,0,738-0054,34.3231,132.3117,50
1.0.67.0/24,1850147,1861060,,0,0,102-0082,35.6882,139.7532,1000
1.0.93.0/24,1849892,1861060,,0,0,680-0947,35.5362,134.1851,100
1.0.94.0/23,1857550,1861060,,0,0,690-0011,35.4392,133.0629,100
1.0.68.0/23,1862415,1861060,,0,0,731-0113,34.4333,132.4667,10
1.0.70.0/23,1863018,1861060,,0,0,738-0054,34.3231,132.3118,20
1.0.72.0/23,1862415,1861060,,0,0,736-0046,34.4787,132.7055,50
1.0.105.0/24,1857550,1861060,,0,0,690-0017,35.4565,133.0726,5
1.0.106.0/23,1849892,1861060,,0,0,682-0712,35.5417,134.1000,100
1.0.108.0/22,1857550,1861060,,0,0,690-0121,35.4833,133.0500,20
1.0.112.0/23,1849892,1861060,,0,0,680-0902,35.5362,134.1851,100
1.0.114.0/23,1848277,1861060,,0,0,683-0842,35.4430,133.3238,20
1.0.96.0/21,1857550,1861060,,0,0,699-0201,35.4333,133.0167,100
1.0.104.0/24,1854383,1861060,,0,0,702-8035,34.5298,133.7390,20
1.0.116.0/23,1857550,1861060,,0,0,690-0814,35.4498,133.0435,20
1.0.118.0/23,1858301,1861060,,0,0,682-0311,35.4333,133.8167,10
1.0.120.0/23,1849892,1861060,,0,0,680-0941,35.5362,134.1851,100
1.0.122.0/24,1849892,1861060,,0,0,680-0945,35.5362,134.1851,100
1.0.123.0/24,1849892,1861060,,0,0,680-0012,35.5000,134.2333,50
1.0.124.0/24,1849892,1861060,,0,0,680-0012,35.5000,134.2333,100
1.0.125.0/24,1848277,1861060,,0,0,683-0801,35.4573,133.3453,20
1.0.126.0/23,1854381,1861060,,0,0,702-8025,35.2833,133.6500,50
1.0.128.0/23,1606270,1605651,,0,0,16000,14.8879,100.4046,500
1.0.130.0/23,1606147,1605651,,0,0,90000,7.0167,100.6619,500
1.0.132.0/22,1606270,1605651,,0,0,16000,14.8879,100.4046,500
1.0.136.0/21,1611110,1605651,,0,0,20000,13.3622,100.9835,20
1.0.144.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.146.0/24,1150447,1605651,,0,0,82130,8.4000,98.4500,100
1.0.147.0/24,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.154.0/23,7290492,1605651,,0,0,84150,9.1503,99.3058,100
